Repository,Top 4 Contributors (commits)
2025-02-11-osu-online,Matt Thompson (thompsonmj)
invasives-project,"David Carlyn (DavidCarlyn), Catherine Villeneuve     (cath34), None (sajeedmehrab), Elizabeth Campolongo (egrace479)"
Finer-CAM,"Ziheng Zhang (Link7808), Jianyang Gu (vimar-gu)"
SST,"David Carlyn (DavidCarlyn), Daniel Feng (DeFisch), Elizabeth Campolongo (egrace479), Hilmar Lapp (hlapp)"
TreeOfLife-toolbox,"Andrei Kopanev (Andrey170170), Elizabeth Campolongo (egrace479), Net Zhang (NetZissou)"
Prompt_CAM,"Arpita Chowdhury (arpita-chowdhury-osu), Sahasra Yikuntam (sahasra-yikuntam)"
mmla,Jenna Kline (jennamk14)
bioclip-2,"Ross Wightman (rwightman), Romain Beaumont (rom1504), Mitchell Wortsman (mitchellnw), Elizabeth Campolongo (egrace479)"
naturelab,"Jenna Kline (jennamk14), None (allyomalleycat)"
2025-08-15-osu-online,Matt Thompson (thompsonmj)
FuncaPalooza-2025,"Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj)"
emb-explorer,Net Zhang (NetZissou)
EgoBlur,"None (nrraina), None (omkar-fb), Richard Barnes (r-barnes), None (thomaspolasek)"
pygbif,"Scott Chamberlain (sckott), Cecilie Svenningsen (CecSve), Stijn Van Hoey (stijnvanhoey), John Waller (jhnwllr)"
hpc-inference,"Net Zhang (NetZissou), Elizabeth Campolongo (egrace479)"
Imageomics-NeurIPS-2025,Jianyang Gu (vimar-gu)
HDR-SMood-Challenge,"Elizabeth Campolongo (egrace479), David Carlyn (DavidCarlyn), Lisa (work4cs), Eric Sokol (sokole)"
HDR-SMood-Challenge-sample,"David Carlyn (DavidCarlyn), Elizabeth Campolongo (egrace479), Connor Kilrain (Kilrain4)"
ai-ready-infrastructure,"Matt Thompson (thompsonmj), Elizabeth Campolongo (egrace479)"
cliparoo,"Dominik Winecki (dominikWin), Matt Thompson (thompsonmj)"
Collaborative-distributed-science-guide,"Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj), Net Zhang (NetZissou), Graham Taylor (gwtaylor)"
Funcapalooza-Cicli2,"Luke Meyers (lqmeyers), Hilmar Lapp (hlapp)"
global-egg-trait,"Net Zhang (NetZissou), None (apaulmetzler), Yu Tsai-Chen (yutsaichen)"
mimicry-madness,"Elizabeth Campolongo (egrace479), David Carlyn (DavidCarlyn), Jake Beattie (jakesmbeattie), Andressa Viol (philodryas)"
tree-seedling-detection,"Matt Thompson (thompsonmj), Meilun Zhou (meilunzhou)"
KABR,"Elizabeth Campolongo (egrace479), Jenna Kline (jennamk14)"
catalog,N/A
awesome-imageomics,Hilmar Lapp (hlapp)
BeetleFlow,"Fangxun Liu (CZ2128-Delta), Elizabeth Campolongo (egrace479)"
bioclip-ecosystem,N/A
biocap,"Ross Wightman (rwightman), Romain Beaumont (rom1504), Mitchell Wortsman (mitchellnw), Elizabeth Campolongo (egrace479)"
repo-exporter,"Balaji Radhakrishnan (balajiRRK), Amanda Lan (mandylan75), Elizabeth Campolongo (egrace479), None (dependabot[bot])"
carabidae_beetle_processing,"Elizabeth Campolongo (egrace479), Mridul Khurana (mridulk97), Alyson East (AlysonEast)"
phylonn,"None (elhamod), Mridul Khurana (mridulk97), Patrick Esser (pesser), Harish Babu Manogaran (harishB97)"
fair_drones,"Jenna Kline (jennamk14), Elizabeth Campolongo (egrace479)"
2026-02-09-osu-online,"Matt Thompson (thompsonmj), Elizabeth Campolongo (egrace479)"
bioclip-app,Lisa (work4cs)
h5-image-explorer,Matt Thompson (thompsonmj)
SongSage,"Tanishka Wani (Tanishka-01), Elizabeth Campolongo (egrace479)"
BeetleVerse,S M Rayeed (SMRayeed)
bioclip-image-search-lite,Net Zhang (NetZissou)
Heliconius-model-mimicry,"Elizabeth Campolongo (egrace479), Michelle Ramirez (ramirezmichelle)"
conference-tutorials-2026,"Matt Thompson (thompsonmj), Jianyang Gu (vimar-gu), Jake Beattie (jakesmbeattie), Fangxun Liu (CZ2128-Delta)"
saev-fish-dev,"Sam (samuelstevens), None (HugoFry), Joseph Bloom (jbloomAus), Lucy Farnik (lucyfarnik)"
TaxaAdapter,Mridul Khurana (mridulk97)
open-set-atlas,Matt Thompson (thompsonmj)
saev-demo,"Sam (samuelstevens), None (HugoFry), Joseph Bloom (jbloomAus), Lucy Farnik (lucyfarnik)"
simple-localized-counterfactuals,David Carlyn (DavidCarlyn)
imageomics.github.io,"Jason Amo-Mensah (jasonam84), Elizabeth Campolongo (egrace479)"
milu-deer-bioacoustics,"None (varunviswapriyan), Jenna Kline (jennamk14), Elizabeth Campolongo (egrace479)"
zarte-empirie,Matt Thompson (thompsonmj)
task-referenced-iqa,William H. Hsu (banazir)
individual-id-drones,Elizabeth Campolongo (egrace479)
camera-trap-geolocation,Bharath Pillai (Bharathpillai06)
